,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
147,19,20,16,4,0,118.75,3,lbw,2,v South Africa,Lucknow,12-Oct-23
148,0,4,5,0,0,0,3,lbw,2,v Sri Lanka,Lucknow,16-Oct-23
149,7,17,9,0,0,77.77,4,caught,1,v Pakistan,Bengaluru,20-Oct-23
150,71,88,68,9,1,104.41,3,caught,1,v Netherlands,Delhi,25-Oct-23
151,18,19,17,2,0,105.88,4,caught,1,v New Zealand,Dharamsala,28-Oct-23
152,44,85,52,3,0,84.61,3,caught,1,v England,Ahmedabad,04-Nov-23
153,63*,99,64,4,1,98.43,4,not out,2,v Bangladesh,Pune,11-Nov-23
154,30,102,62,2,0,48.38,4,caught,2,v South Africa,Eden Gardens,16-Nov-23
155,4,11,9,1,0,44.44,4,lbw,2,v India,Ahmedabad,19-Nov-23
156,79*,88,79,8,0,100,4,not out,2,v West Indies,Melbourne,02-Feb-24
157,5,19,10,1,0,50,4,bowled,1,v West Indies,Sydney,04-Feb-24
158,6*,2,3,1,0,200,4,not out,2,v West Indies,Canberra,06-Feb-24
