,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
137,10,16,9,1,0,111.11,6,lbw,2,v Sri Lanka,Leeds,21-Jun-19
138,25,60,27,2,0,92.59,6,caught,2,v Australia,Lord's,25-Jun-19
139,20,17,8,1,2,250,6,caught,1,v India,Birmingham,30-Jun-19
140,11,25,12,1,0,91.66,4,caught,1,v New Zealand,Chester-le-Street,03-Jul-19
141,DNB,-,-,-,-,-,-,-,2,v Australia,Birmingham,11-Jul-19
142,59,94,60,6,0,98.33,6,caught,2,v New Zealand,Lord's,14-Jul-19
143,1,8,4,0,0,25,5,caught,2,v Australia,Manchester,11-Sep-20
144,3,14,7,0,0,42.85,5,lbw,1,v Australia,Manchester,13-Sep-20
145,8,32,20,0,0,40,5,caught,1,v Australia,Manchester,16-Sep-20
146,2,14,4,0,0,50,5,lbw,2,v India,Pune,23-Mar-21
147,0,5,3,0,0,0,5,bowled,2,v India,Pune,26-Mar-21
148,15,28,18,2,0,83.33,5,lbw,2,v India,Pune,28-Mar-21
149,162*,107,70,7,14,231.42,4,not out,1,v Netherlands,Amstelveen,17-Jun-22
150,DNB,-,-,-,-,-,-,-,2,v Netherlands,Amstelveen,19-Jun-22
151,86*,84,64,7,5,134.37,4,not out,2,v Netherlands,Amstelveen,22-Jun-22
152,30,62,32,6,0,93.75,5,caught,1,v India,The Oval,12-Jul-22
153,4,7,5,0,0,80,5,bowled,1,v India,Lord's,14-Jul-22
154,60,129,80,3,2,75,5,caught,1,v India,Manchester,17-Jul-22
155,12,14,12,1,0,100,5,caught,2,v South Africa,Chester-le-Street,19-Jul-22
156,19,36,27,1,0,70.37,6,caught,1,v South Africa,Manchester,22-Jul-22
157,TDNB,-,-,-,-,-,-,-,-,v South Africa,Leeds,24-Jul-22
158,29,47,34,2,0,85.29,6,caught,1,v Australia,Adelaide,17-Nov-22
159,1,4,4,0,0,25,6,caught,2,v Australia,Melbourne,22-Nov-22
160,36,78,42,4,0,85.71,5,caught,2,v South Africa,Bloemfontein,27-Jan-23
161,94*,154,81,8,3,116.04,5,not out,1,v South Africa,Bloemfontein,29-Jan-23
162,131,190,127,6,7,103.14,5,caught,1,v South Africa,Kimberley,01-Feb-23
163,9,14,10,1,0,90,5,caught,2,v Bangladesh,Mirpur,01-Mar-23
164,76,103,64,5,2,118.75,5,caught,1,v Bangladesh,Mirpur,03-Mar-23
165,26,51,24,0,0,108.33,6,lbw,2,v Bangladesh,Chattogram,06-Mar-23
166,72,112,68,5,2,105.88,5,caught,1,v New Zealand,Cardiff,08-Sep-23
167,30,35,25,4,0,120,5,bowled,1,v New Zealand,Southampton,10-Sep-23
168,38,32,24,6,1,158.33,5,caught,1,v New Zealand,The Oval,13-Sep-23
169,36,36,31,3,1,116.12,5,caught,1,v New Zealand,Lord's,15-Sep-23
170,43,48,42,2,2,102.38,6,caught,1,v New Zealand,Ahmedabad,05-Oct-23
171,20,11,10,1,1,200,4,bowled,1,v Bangladesh,Dharamsala,10-Oct-23
172,9,21,18,1,0,50,5,bowled,2,v Afghanistan,Delhi,15-Oct-23
173,15,14,7,2,1,214.28,6,caught,2,v South Africa,Wankhede,21-Oct-23
174,8,6,6,1,0,133.33,5,caught,1,v Sri Lanka,Bengaluru,26-Oct-23
175,10,33,23,1,0,43.47,5,bowled,2,v India,Lucknow,29-Oct-23
176,1,10,7,0,0,14.28,5,caught,2,v Australia,Ahmedabad,04-Nov-23
177,5,12,11,0,0,45.45,6,caught,1,v Netherlands,Pune,08-Nov-23
178,27,39,18,3,1,150,5,run out,1,v Pakistan,Eden Gardens,11-Nov-23
179,3,16,13,0,0,23.07,6,caught,1,v West Indies,North Sound,03-Dec-23
180,58*,52,45,4,3,128.88,6,not out,2,v West Indies,North Sound,06-Dec-23
181,0,2,1,0,0,0,6,caught,1,v West Indies,Bridgetown,09-Dec-23
