,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
257,58,91,67,3,5,86.56,1,caught,1,v Bangladesh,St George's,22-Aug-14
258,6,17,17,1,0,35.29,2,caught,1,v Bangladesh,Basseterre,25-Aug-14
259,41,26,24,5,2,170.83,2,caught,2,v South Africa,Durban,16-Jan-15
260,19,24,13,2,1,146.15,2,caught,2,v South Africa,Johannesburg,18-Jan-15
261,1,18,5,0,0,20,2,caught,1,v South Africa,East London,21-Jan-15
262,10,28,19,1,0,52.63,2,caught,2,v South Africa,Gqeberha,25-Jan-15
263,0,1,1,0,0,0,1,caught,2,v South Africa,Centurion,28-Jan-15
264,36,79,65,3,1,55.38,2,caught,1,v Ireland,Nelson,16-Feb-15
265,4,21,14,0,0,28.57,2,caught,1,v Pakistan,Christchurch,21-Feb-15
266,215,212,147,10,16,146.25,2,caught,1,v Zimbabwe,Canberra,24-Feb-15
267,3,6,4,0,0,75,2,bowled,2,v South Africa,Sydney,27-Feb-15
268,21,44,27,2,1,77.77,2,caught,1,v India,Perth,06-Mar-15
269,61,77,33,2,8,184.84,1,bowled,2,v New Zealand,Wellington,21-Mar-15
270,37,42,27,2,3,137.03,1,caught,1,v England,Manchester,19-Sep-17
271,94,112,78,9,6,120.51,1,run out,2,v England,Bristol,24-Sep-17
272,2,-,4,0,0,50,1,caught,1,v England,The Oval,27-Sep-17
273,40,-,29,1,5,137.93,1,caught,1,v England,Southampton,29-Sep-17
274,22,43,31,3,1,70.96,1,caught,1,v New Zealand,Whangarei,20-Dec-17
275,4,3,6,1,0,66.66,1,caught,2,v New Zealand,Christchurch,26-Dec-17
276,123,114,91,7,11,135.16,1,caught,1,v U.A.E.,Harare,06-Mar-18
277,14,38,28,1,1,50,1,caught,1,v Ireland,Harare,10-Mar-18
278,1,19,9,0,0,11.11,1,bowled,1,v Afghanistan,Harare,15-Mar-18
279,17,-,13,0,2,130.76,1,caught,2,v Zimbabwe,Harare,19-Mar-18
280,0,1,1,0,0,0,1,caught,1,v Scotland,Harare,21-Mar-18
281,10,-,18,1,0,55.55,1,caught,1,v Afghanistan,Harare,25-Mar-18
282,40,-,60,1,2,66.66,1,run out,2,v Bangladesh,Providence,22-Jul-18
283,29,-,38,3,1,76.31,1,lbw,1,v Bangladesh,Providence,25-Jul-18
284,73,-,66,6,5,110.6,1,caught,2,v Bangladesh,Basseterre,28-Jul-18
285,135,216,129,3,12,104.65,1,bowled,1,v England,Bridgetown,20-Feb-19
286,50,98,63,1,4,79.36,1,bowled,1,v England,Bridgetown,22-Feb-19
287,TDNB,-,-,-,-,-,-,-,-,v England,St George's,25-Feb-19
288,162,-,97,11,14,167.01,1,bowled,2,v England,St George's,27-Feb-19
289,77,-,27,5,9,285.18,1,bowled,2,v England,Gros Islet,02-Mar-19
290,50,51,34,6,3,147.05,1,caught,2,v Pakistan,Nottingham,31-May-19
