,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
84,10,1,30,4,3,1,2,v West Indies,Manchester,22-Jun-19
85,10,0,48,1,4.8,1,2,v Pakistan,Birmingham,26-Jun-19
86,10,1,51,4,5.1,1,1,v Australia,Lord's,29-Jun-19
87,10,0,56,2,5.6,2,1,v England,Chester-le-Street,03-Jul-19
88,10,2,42,2,4.2,1,2,v India,Manchester,09-Jul-19
89,10,0,67,0,6.7,1,2,v England,Lord's,14-Jul-19
90,10,0,37,0,3.7,1,1,v Australia,Sydney,13-Mar-20
91,8.5,0,27,4,3.05,1,1,v Bangladesh,Dunedin,20-Mar-21
92,10,0,49,1,4.9,1,1,v Bangladesh,Christchurch,23-Mar-21
93,10,1,37,0,3.7,2,2,v Bangladesh,Wellington,26-Mar-21
94,10,0,49,2,4.9,1,2,v West Indies,Bridgetown,17-Aug-22
95,6,1,18,3,3,1,2,v West Indies,Bridgetown,19-Aug-22
96,10,1,53,3,5.3,1,1,v West Indies,Bridgetown,21-Aug-22
97,10,2,40,4,4,1,2,v Australia,Cairns,06-Sep-22
98,10,2,38,4,3.8,1,1,v Australia,Cairns,08-Sep-22
99,10,4,25,2,2.5,1,1,v Australia,Cairns,11-Sep-22
100,7,1,37,3,5.28,1,1,v England,Southampton,10-Sep-23
101,9.1,0,51,5,5.56,1,1,v England,The Oval,13-Sep-23
102,TDNB,-,-,-,-,-,-,v Bangladesh,Mirpur,21-Sep-23
103,8,0,37,0,4.62,1,2,v Bangladesh,Mirpur,23-Sep-23
104,6,0,33,2,5.5,1,1,v Bangladesh,Mirpur,26-Sep-23
105,10,1,48,1,4.8,1,1,v England,Ahmedabad,05-Oct-23
106,8,0,34,0,4.25,1,2,v Netherlands,Hyderabad,09-Oct-23
107,10,0,45,2,4.5,1,1,v Bangladesh,Chennai,13-Oct-23
108,7,1,18,2,2.57,1,2,v Afghanistan,Chennai,18-Oct-23
109,10,0,60,1,6,1,2,v India,Dharamsala,22-Oct-23
110,10,0,77,3,7.7,2,1,v Australia,Dharamsala,28-Oct-23
111,10,1,49,1,4.9,1,1,v South Africa,Pune,01-Nov-23
112,6,0,50,0,8.33,1,2,v Pakistan,Bengaluru,04-Nov-23
113,10,3,37,3,3.7,1,1,v Sri Lanka,Bengaluru,09-Nov-23
114,10,0,86,1,8.6,1,1,v India,Wankhede,15-Nov-23
