,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
81,3,0,13,0,4.33,4,2,v New Zealand,Dunedin,08-Feb-10
82,10,0,33,4,3.3,4,2,v New Zealand,Christchurch,11-Feb-10
83,10,1,42,1,4.2,3,2,v England,Mirpur,28-Feb-10
84,10,2,32,3,3.2,5,2,v England,Mirpur,02-Mar-10
85,10,0,45,1,4.5,4,1,v England,Chattogram,05-Mar-10
86,10,0,49,2,4.9,3,2,v India,Dambulla,16-Jun-10
87,10,0,49,1,4.9,4,1,v Sri Lanka,Dambulla,18-Jun-10
88,10,0,73,2,7.3,6,1,v Pakistan,Dambulla,21-Jun-10
89,10,0,35,2,3.5,4,2,v England,Nottingham,08-Jul-10
90,10,0,40,2,4,5,2,v England,Bristol,10-Jul-10
91,10,0,75,0,7.5,5,1,v England,Birmingham,12-Jul-10
92,10,0,52,1,5.2,5,2,v Ireland,Belfast,15-Jul-10
93,9,1,21,2,2.33,4,1,v Ireland,Belfast,16-Jul-10
94,5,0,36,2,7.2,4,2,v Netherlands,Glasgow,20-Jul-10
95,8,0,41,4,5.12,5,2,v New Zealand,Mirpur,05-Oct-10
96,9,1,45,2,5,4,1,v New Zealand,Mirpur,11-Oct-10
97,10,0,54,3,5.4,4,2,v New Zealand,Mirpur,14-Oct-10
98,10,1,35,2,3.5,5,2,v New Zealand,Mirpur,17-Oct-10
99,10,0,37,1,3.7,5,1,v Zimbabwe,Mirpur,01-Dec-10
100,9,0,39,4,4.33,4,1,v Zimbabwe,Mirpur,03-Dec-10
101,9,0,57,1,6.33,4,2,v Zimbabwe,Mirpur,06-Dec-10
102,10,0,58,3,5.8,6,1,v Zimbabwe,Chattogram,12-Dec-10
103,10,0,61,1,6.1,4,1,v India,Mirpur,19-Feb-11
104,8,0,28,2,3.5,4,2,v Ireland,Mirpur,25-Feb-11
105,0.2,0,1,0,3,6,2,v West Indies,Mirpur,04-Mar-11
106,10,0,49,2,4.9,6,1,v England,Chattogram,11-Mar-11
107,8,0,38,1,4.75,3,1,v Netherlands,Chattogram,14-Mar-11
108,10,0,46,2,4.6,6,1,v South Africa,Mirpur,19-Mar-11
109,10,0,34,0,3.4,5,1,v Australia,Mirpur,09-Apr-11
110,7,1,35,1,5,3,2,v Australia,Mirpur,11-Apr-11
111,7,0,48,0,6.85,3,1,v Australia,Mirpur,13-Apr-11
112,10,0,48,1,4.8,4,2,v Zimbabwe,Harare,12-Aug-11
113,8,1,31,0,3.87,4,2,v Zimbabwe,Harare,14-Aug-11
114,6,0,46,2,7.66,6,1,v Zimbabwe,Harare,16-Aug-11
115,6,0,25,1,4.16,5,1,v Zimbabwe,Bulawayo,19-Aug-11
116,7,0,26,2,3.71,4,2,v Zimbabwe,Bulawayo,21-Aug-11
117,10,0,50,0,5,4,1,v West Indies,Mirpur,13-Oct-11
118,10,1,30,2,3,3,2,v West Indies,Mirpur,15-Oct-11
119,5,0,16,4,3.2,4,1,v West Indies,Chattogram,18-Oct-11
120,9.4,3,42,2,4.34,3,2,v Pakistan,Mirpur,01-Dec-11
121,10,0,27,1,2.7,3,1,v Pakistan,Mirpur,03-Dec-11
122,10,2,21,1,2.1,4,1,v Pakistan,Chattogram,06-Dec-11
123,10,0,41,2,4.1,3,1,v Pakistan,Mirpur,11-Mar-12
124,10,0,63,0,6.3,4,1,v India,Mirpur,16-Mar-12
125,10,1,56,2,5.6,5,1,v Sri Lanka,Mirpur,20-Mar-12
126,10,1,39,2,3.9,5,1,v Pakistan,Mirpur,22-Mar-12
127,3,0,27,0,9,4,2,v Zimbabwe,Bulawayo,03-May-13
128,9,0,42,1,4.66,5,2,v Zimbabwe,Bulawayo,05-May-13
129,9,1,43,0,4.77,5,2,v Zimbabwe,Bulawayo,08-May-13
130,7,0,29,2,4.14,3,1,v Sri Lanka,Mirpur,17-Feb-14
131,10,1,46,1,4.6,4,1,v Sri Lanka,Mirpur,20-Feb-14
132,10,2,53,1,5.3,3,2,v Pakistan,Mirpur,04-Mar-14
133,10,0,27,0,2.7,3,2,v Sri Lanka,Mirpur,06-Mar-14
