,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
84,9,0,59,2,6.55,1,1,v South Africa,Manchester,06-Jul-19
85,9,0,70,1,7.77,2,2,v England,Birmingham,11-Jul-19
86,10,0,56,3,5.6,1,1,v India,Wankhede,14-Jan-20
87,10,0,78,0,7.8,2,1,v India,Rajkot,17-Jan-20
88,9,0,66,0,7.33,2,2,v India,Bengaluru,19-Jan-20
89,10,0,59,2,5.9,1,1,v South Africa,Paarl,29-Feb-20
90,9.3,0,53,1,5.57,1,2,v South Africa,Bloemfontein,04-Mar-20
91,7,0,33,0,4.71,1,2,v New Zealand,Sydney,13-Mar-20
92,10,0,47,0,4.7,1,2,v England,Manchester,11-Sep-20
93,10,1,38,2,3.8,1,1,v England,Manchester,13-Sep-20
94,10,0,74,3,7.4,1,1,v England,Manchester,16-Sep-20
95,9,0,65,1,7.22,1,2,v India,Sydney,27-Nov-20
96,9,0,82,0,9.11,1,2,v India,Sydney,29-Nov-20
97,8,1,48,5,6,1,2,v West Indies,Bridgetown,20-Jul-21
98,10,1,26,3,2.6,1,2,v West Indies,Bridgetown,22-Jul-21
99,9.1,0,43,3,4.69,1,1,v West Indies,Bridgetown,26-Jul-21
100,8.3,1,27,1,3.17,1,1,v Zimbabwe,Townsville,28-Aug-22
101,8,1,24,3,3,1,1,v Zimbabwe,Townsville,31-Aug-22
102,8,0,33,1,4.12,1,2,v Zimbabwe,Townsville,03-Sep-22
103,9,2,43,1,4.77,1,1,v New Zealand,Cairns,06-Sep-22
104,7,0,12,2,1.71,1,2,v New Zealand,Cairns,08-Sep-22
105,9.5,0,60,3,6.1,1,2,v New Zealand,Cairns,11-Sep-22
106,10,0,45,1,4.5,1,1,v England,Adelaide,17-Nov-22
107,8,1,47,4,5.87,1,2,v England,Sydney,19-Nov-22
108,9.5,0,49,3,4.98,1,2,v India,Wankhede,17-Mar-23
109,8,1,53,5,6.62,1,1,v India,Visakhapatnam,19-Mar-23
110,10,0,67,0,6.7,1,2,v India,Chennai,22-Mar-23
111,7,0,53,1,7.57,1,2,v India,Rajkot,27-Sep-23
112,8,0,31,1,3.87,1,2,v India,Chennai,08-Oct-23
113,9,1,53,2,5.88,1,1,v South Africa,Lucknow,12-Oct-23
114,10,0,43,2,4.3,1,1,v Sri Lanka,Lucknow,16-Oct-23
115,8,0,65,1,8.12,1,2,v Pakistan,Bengaluru,20-Oct-23
116,4,0,22,1,5.5,1,2,v Netherlands,Delhi,25-Oct-23
117,9,0,89,0,9.88,1,2,v New Zealand,Dharamsala,28-Oct-23
118,10,0,66,2,6.6,1,2,v England,Ahmedabad,04-Nov-23
119,9,0,70,1,7.77,1,1,v Afghanistan,Wankhede,07-Nov-23
120,10,1,34,3,3.4,1,1,v South Africa,Eden Gardens,16-Nov-23
121,10,0,55,3,5.5,1,1,v India,Ahmedabad,19-Nov-23
