,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
84,3,0,41,1,13.66,5,2,v Australia,Perth,09-Oct-22
85,4,0,38,0,9.5,4,2,v Australia,Canberra,12-Oct-22
86,DNB,-,-,-,-,-,2,v Australia,Canberra,14-Oct-22
87,4,0,32,0,8,5,1,v Afghanistan,Perth,22-Oct-22
88,4,0,24,0,6,5,1,v Ireland,Melbourne,26-Oct-22
89,4,0,33,0,8.25,3,2,v New Zealand,Brisbane,01-Nov-22
90,4,0,16,1,4,5,1,v Sri Lanka,Sydney,05-Nov-22
91,4,0,20,1,5,4,1,v India,Adelaide,10-Nov-22
92,4,1,22,2,5.5,4,1,v Pakistan,Melbourne,13-Nov-22
93,3,0,25,1,8.33,4,2,v Bangladesh,Chattogram,09-Mar-23
94,4,0,28,0,7,5,2,v Bangladesh,Mirpur,12-Mar-23
95,4,0,23,1,5.75,3,1,v Bangladesh,Mirpur,14-Mar-23
96,3,0,18,1,6,4,1,v New Zealand,Chester-le-Street,30-Aug-23
97,3,0,18,2,6,4,2,v New Zealand,Manchester,01-Sep-23
98,4,0,43,0,10.75,4,1,v New Zealand,Birmingham,03-Sep-23
99,4,0,41,0,10.25,4,2,v New Zealand,Nottingham,05-Sep-23
100,4,0,25,2,6.25,6,2,v West Indies,Bridgetown,12-Dec-23
101,4,0,11,2,2.75,4,1,v West Indies,St George's,14-Dec-23
102,4,0,32,2,8,5,1,v West Indies,St George's,16-Dec-23
103,4,0,35,1,8.75,6,2,v West Indies,Tarouba,19-Dec-23
104,4,0,21,2,5.25,4,2,v West Indies,Tarouba,21-Dec-23
105,3,0,25,1,8.33,5,2,v Pakistan,Birmingham,25-May-24
106,4,0,27,2,6.75,5,1,v Pakistan,The Oval,30-May-24
