,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
86,4,0,21,1,5.25,4,2,v U.A.E.,Dubai (DICS),20-Aug-23
87,3,0,30,0,10,4,2,v England,Chester-le-Street,30-Aug-23
88,4,0,36,1,9,3,1,v England,Manchester,01-Sep-23
89,3,0,20,1,6.66,4,2,v England,Birmingham,03-Sep-23
90,4,0,30,3,7.5,3,1,v England,Nottingham,05-Sep-23
91,4,0,16,1,4,6,2,v Bangladesh,Napier,27-Dec-23
92,TDNB,-,-,-,-,-,-,v Bangladesh,Mount Maunganui,29-Dec-23
93,4,0,16,4,4,4,1,v Bangladesh,Mount Maunganui,31-Dec-23
94,4,0,47,0,11.75,3,2,v Pakistan,Hamilton,14-Jan-24
95,4,0,26,1,6.5,4,2,v Pakistan,Dunedin,17-Jan-24
96,4,0,23,0,5.75,5,1,v Pakistan,Christchurch,19-Jan-24
97,4,0,30,0,7.5,3,1,v Pakistan,Christchurch,21-Jan-24
98,4,0,42,2,10.5,4,2,v Australia,Wellington,21-Feb-24
99,4,0,35,2,8.75,5,1,v Australia,Auckland,23-Feb-24
100,2,0,16,1,8,5,1,v Australia,Auckland,25-Feb-24
