,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
90,21,44,10,3,1,210,2,run out,2,v Sri Lanka,Colombo (RPS),08-Jun-22
91,39,49,33,6,0,118.18,1,lbw,1,v Sri Lanka,Pallekele,11-Jun-22
92,14,8,6,3,0,233.33,1,caught,2,v West Indies,Carrara,05-Oct-22
93,75,59,41,10,3,182.92,1,caught,1,v West Indies,Brisbane,07-Oct-22
94,73,96,44,8,2,165.9,1,caught,2,v England,Perth,09-Oct-22
95,4,22,11,0,0,36.36,1,caught,2,v England,Canberra,12-Oct-22
96,5,7,6,1,0,83.33,1,bowled,2,v New Zealand,Sydney,22-Oct-22
97,11,26,10,0,0,110,1,caught,2,v Sri Lanka,Perth,25-Oct-22
98,3,13,7,0,0,42.85,1,caught,1,v Ireland,Brisbane,31-Oct-22
99,25,28,18,5,0,138.88,1,bowled,1,v Afghanistan,Adelaide,04-Nov-22
100,70,58,36,12,1,194.44,1,caught,1,v West Indies,Hobart,09-Feb-24
101,22,33,19,3,1,115.78,1,caught,1,v West Indies,Adelaide,11-Feb-24
102,81,60,49,9,3,165.3,2,caught,2,v West Indies,Perth,13-Feb-24
103,32,33,20,1,3,160,2,caught,2,v New Zealand,Wellington,21-Feb-24
