,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
96,17,25,13,1,0,130.76,3,caught,2,v West Indies,Eden Gardens,16-Feb-22
97,52,57,41,7,1,126.82,3,bowled,1,v West Indies,Eden Gardens,18-Feb-22
98,1,8,3,0,0,33.33,3,caught,1,v England,Birmingham,09-Jul-22
99,11,8,6,1,1,183.33,3,caught,2,v England,Nottingham,10-Jul-22
100,35,47,34,3,1,102.94,3,caught,2,v Pakistan,Dubai (DICS),28-Aug-22
101,59*,74,44,1,3,134.09,3,not out,1,v Hong Kong,Dubai (DICS),31-Aug-22
102,60,77,44,4,1,136.36,3,run out,1,v Pakistan,Dubai (DICS),04-Sep-22
103,0,6,4,0,0,0,3,bowled,1,v Sri Lanka,Dubai (DICS),06-Sep-22
104,122*,90,61,12,6,200,2,not out,1,v Afghanistan,Dubai (DICS),08-Sep-22
105,2,12,7,0,0,28.57,3,caught,1,v Australia,Mohali,20-Sep-22
106,11,-,6,2,0,183.33,3,bowled,2,v Australia,Nagpur,23-Sep-22
107,63,89,48,3,4,131.25,3,caught,2,v Australia,Hyderabad,25-Sep-22
108,3,19,9,0,0,33.33,3,caught,2,v South Africa,Thiruvananthapuram,28-Sep-22
109,49*,56,28,7,1,175,3,not out,1,v South Africa,Guwahati,02-Oct-22
110,82*,98,53,6,4,154.71,3,not out,2,v Pakistan,Melbourne,23-Oct-22
111,62*,79,44,3,2,140.9,3,not out,1,v Netherlands,Sydney,27-Oct-22
112,12,13,11,2,0,109.09,3,caught,1,v South Africa,Perth,30-Oct-22
113,64*,84,44,8,1,145.45,3,not out,1,v Bangladesh,Adelaide,02-Nov-22
114,26,36,25,2,0,104,3,caught,1,v Zimbabwe,Melbourne,06-Nov-22
115,50,75,40,4,1,125,3,caught,1,v England,Adelaide,10-Nov-22
116,29,20,16,5,0,181.25,3,caught,2,v Afghanistan,Indore,14-Jan-24
117,0,1,1,0,0,0,3,caught,1,v Afghanistan,Bengaluru,17-Jan-24
